Class,Order,Family,Subfamily,Genus,Species,Category,Taxonomie,Liste E,06_06_2021,06_07_2021,06_08_2021,06_09_2021,02_10_2022,02_11_2022
Actinopterygii,Scorpaeniformes,Scorpaenidae,Pteroinae,Pterois,volitans,reef-associated,Pterois volitans,Pterois volitans,0,0,0,1,1,0
Actinopterygii,Scombriformes,Scombridae,-,-,-,pelagic-neritic; pelagic-oceanic,Scombridae,"Auxis thazard, Auxis rochei, Sarda sarda, Euthynnus alleteratus, Thunnus alalunga, Thunnus albacares, Thunnus atlanticus, Thunnus obesus, Thunnus thynnus, Katsuwonus pelamis, Acanthocybium solandri",0,1,1,1,0,1
Actinopterygii,Scombriformes,Scombridae,Scombrinae,-,-,pelagic-neritic; pelagic-oceanic,Scombrinae 1,"Euthynnus alleteratus, Katsuwonus pelamis, Auxis thazard, Auxis rochei, Sarda sarda, Thunnus alalunga, Thunnus albacares, Thunnus atlanticus, Thunnus obesus, Thunnus thynnus",1,0,0,1,1,1
Actinopterygii,Scombriformes,Scombridae,Scombrinae,-,-,pelagic-neritic; pelagic-oceanic,Scombrinae 2,"Thunnus alalunga, Thunnus albacares, Thunnus atlanticus, Thunnus obesus, Thunnus thynnus, Auxis thazard, Auxis rochei, Sarda sarda, Katsuwonus pelamis, Euthynnus alletteratus, Acanthocybium solandri",1,0,1,0,1,0
Actinopterygii,Aulopiformes,Scopelarchidae,-,Scopelarchoides,danae,bathypelagic,Scopelarchoides danae,Scopelarchoides danae,1,0,0,0,0,0
Actinopterygii,Perciformes,Sphyraenidae,-,Sphyraena,barracuda,reef-associated,Sphyraena barracuda,Sphyraena barracuda,0,0,0,0,1,0
Actinopterygii,Perciformes,Pomacentridae,Microspathodontinae,Stegastes,partitus,reef-associated,Stegastes partitus,Stegastes partitus,1,0,0,1,0,0
Actinopterygii,Perciformes,Pomacentridae,-,Stegastes,-,reef-associated,Stegastes sp.,"Stegastes adustus, Stegastes diencaeus, Stegastes fuscus, Stegastes otophorus (a)",0,0,0,0,1,0
Actinopterygii,Stomiiformes,Stomiidae,Stomiinae,Stomias,-,bathypelagic,Stomias sp.,"Stomias affinis, Stomias ferox (a), Stomias longibarbatus (a)",1,1,0,0,0,0
Actinopterygii,Stomiiformes,Stomiidae,-,-,-,bathypelagic,Stomiidae,"Astronesthes atlanticus (a), Astronesthes cyaneus (a), Astronesthes gemmifer (a), Astronesthes indicus (a), Astronesthes macropogon (a), Astronesthes micropogon (a), Astronesthes niger (a), Astronesthes richardsoni (a), Astronesthes similus (a), Astronesthes zharovi (a), Stomias ferox (a), Stomias longibarbatus (a)",0,0,0,0,0,1
Aves,Suliformes,Sulidae,-,Sula,-,-,Sula sp.,"Sula leucogaster, Sula dactylatra",0,0,0,1,0,0
Actinopterygii,Perciformes,Labridae,Corinae,Thalassoma,bifasciatum,reef-associated,Thalassoma bifasciatum 1,Thalassoma bifasciatum 1,0,1,0,0,0,0
Actinopterygii,Perciformes,Labridae,Corinae,Thalassoma,bifasciatum,reef-associated,Thalassoma bifasciatum 2,Thalassoma bifasciatum 2,0,1,0,0,0,0
Actinopterygii,Beloniformes,Belonidae,-,Tylosurus,-,reef-associated,Tylosurus sp.,"Tylosurus acus, Tylosurus crocodilus",0,0,1,0,0,0
